game_id,title,issue_count,issues
119,Gang Beasts,1,categories: not sorted alphabetically
120,Stick Fight: The Game,1,categories: not sorted alphabetically
121,Human: Fall Flat,1,categories: not sorted alphabetically
122,Lovers in a Dangerous Spacetime,1,categories: not sorted alphabetically
123,Streets of Rage 4,1,categories: not sorted alphabetically
124,Teenage Mutant Ninja Turtles: Shredder's Revenge,1,categories: not sorted alphabetically
125,Broforce,1,categories: not sorted alphabetically
126,A Way Out,1,categories: not sorted alphabetically
127,Moving Out,2,categories: not sorted alphabetically; genres: not sorted alphabetically
129,TowerFall Ascension,1,categories: not sorted alphabetically
130,Spelunky 2,2,categories: not sorted alphabetically; genres: not sorted alphabetically
131,Trine 4: The Nightmare Prince,2,categories: not sorted alphabetically; genres: not sorted alphabetically
132,Rayman Legends,1,categories: not sorted alphabetically
134,Jackbox Party Pack,1,categories: not sorted alphabetically
135,Move or Die,1,categories: not sorted alphabetically
137,PlateUp!,2,categories: not sorted alphabetically; genres: not sorted alphabetically
138,KeyWe,1,categories: not sorted alphabetically
139,Full Metal Furies,1,categories: not sorted alphabetically
140,Phogs!,1,categories: not sorted alphabetically
141,Unravel Two,2,categories: not sorted alphabetically; genres: not sorted alphabetically
143,Back 4 Blood,0,
144,Aliens: Fireteam Elite,0,
145,Content Warning,2,categories: not sorted alphabetically; genres: not sorted alphabetically
146,Vampire Survivors,2,categories: not sorted alphabetically; genres: not sorted alphabetically
148,Core Keeper,2,categories: not sorted alphabetically; genres: not sorted alphabetically
149,Stardew Valley,2,categories: not sorted alphabetically; genres: not sorted alphabetically
150,Keep Talking and Nobody Explodes,1,categories: not sorted alphabetically
151,PICO PARK,1,categories: not sorted alphabetically
152,Overcooked! All You Can Eat,1,categories: not sorted alphabetically
153,PAYDAY 3,2,categories: not sorted alphabetically; genres: not sorted alphabetically
154,Magicka 2,0,
155,We Were Here Together,1,categories: not sorted alphabetically
156,We Were Here Forever,2,categories: not sorted alphabetically; genres: not sorted alphabetically
157,Crab Game,0,
158,Escape Academy,0,
159,Tiny Tina's Wonderlands,0,
160,Sackboy: A Big Adventure,0,
161,Roboquest,2,categories: not sorted alphabetically; genres: not sorted alphabetically
162,No Man's Sky,2,categories: not sorted alphabetically; genres: not sorted alphabetically
163,Castle Crashers Remastered,1,categories: not sorted alphabetically
164,Astroneer,2,categories: not sorted alphabetically; genres: not sorted alphabetically
